country,year,sex,suicides_no,suicides/100k,generation
Albania,2006,male,0,0,Millenials
Albania,2006,male,0,0,Generation X
Albania,2006,male,0,0,Boomers
Albania,2006,male,0,0,Millenials
Albania,2006,male,0,0,Silent
Albania,2006,male,0,0,Silent
Albania,2007,male,8,18.88,Silent
Albania,2007,male,29,7.66,Boomers
Albania,2007,male,14,6.25,Silent
Albania,2007,female,3,5.23,Silent
Albania,2007,male,9,5.22,Generation X
Albania,2007,female,13,4.63,Millenials
Albania,2007,male,13,4.51,Millenials
Albania,2007,female,8,4.36,Generation X
Albania,2007,female,9,4.07,Silent
Albania,2007,female,14,3.57,Boomers
Albania,2007,male,4,1.47,Generation Z
Albania,2007,female,0,0,Generation Z
Albania,2008,male,21,12.15,Generation X
Albania,2008,male,37,9.81,Boomers
Albania,2008,male,21,9.18,Silent
Albania,2008,female,5,8.42,Silent
Albania,2008,female,20,7.24,Millenials
Albania,2008,female,9,4.93,Generation X
Albania,2008,female,19,4.82,Boomers
Albania,2008,male,2,4.49,Silent
Albania,2008,male,11,3.84,Millenials
Albania,2008,female,7,3.09,Silent
Albania,2008,male,7,2.67,Generation Z
Albania,2008,female,1,0.41,Generation Z
Albania,2009,female,0,0,Millenials
Albania,2009,female,0,0,Generation X
Albania,2009,female,0,0,Boomers
Albania,2009,female,0,0,Generation Z
Albania,2009,female,0,0,Silent
Albania,2009,female,0,0,Silent
Albania,2009,male,0,0,Millenials
Albania,2009,male,0,0,Generation X
Albania,2009,male,0,0,Boomers
Albania,2009,male,0,0,Generation Z
Albania,2009,male,0,0,Silent
Albania,2009,male,0,0,Silent
Albania,2010,male,20,8.27,Silent
Albania,2010,male,20,5.38,Generation X
Albania,2010,male,9,5.01,Generation X
Albania,2010,male,2,3.94,Silent
Albania,2010,male,10,3.58,Millenials
Albania,2010,female,6,3.27,Generation X
Albania,2010,female,2,3.1,Silent
Albania,2010,female,12,3.04,Generation X
Albania,2010,female,7,2.9,Silent
Albania,2010,female,6,2.28,Millenials
Albania,2010,female,2,0.89,Generation Z
Albania,2010,male,0,0,Generation Z
Antigua and Barbuda,1985,female,0,0,Generation X
Antigua and Barbuda,1985,female,0,0,Boomers
Antigua and Barbuda,1985,female,0,0,Silent
Antigua and Barbuda,1985,female,0,0,Generation X
Antigua and Barbuda,1985,female,0,0,G.I. Generation
Antigua and Barbuda,1985,female,0,0,G.I. Generation
Antigua and Barbuda,1985,male,0,0,Generation X
Antigua and Barbuda,1985,male,0,0,Boomers
Antigua and Barbuda,1985,male,0,0,Silent
Antigua and Barbuda,1985,male,0,0,Generation X
Antigua and Barbuda,1985,male,0,0,G.I. Generation
Antigua and Barbuda,1985,male,0,0,G.I. Generation
Antigua and Barbuda,1986,female,0,0,Generation X
Antigua and Barbuda,1986,female,0,0,Boomers
Antigua and Barbuda,1986,female,0,0,Silent
Antigua and Barbuda,1986,female,0,0,Generation X
Antigua and Barbuda,1986,female,0,0,G.I. Generation
Antigua and Barbuda,1986,female,0,0,G.I. Generation
Antigua and Barbuda,1986,male,0,0,Generation X
Antigua and Barbuda,1986,male,0,0,Boomers
Antigua and Barbuda,1986,male,0,0,Silent
Antigua and Barbuda,1986,male,0,0,Generation X
Antigua and Barbuda,1986,male,0,0,G.I. Generation
Antigua and Barbuda,1986,male,0,0,G.I. Generation
Antigua and Barbuda,1987,female,0,0,Generation X
Antigua and Barbuda,1987,female,0,0,Boomers
Antigua and Barbuda,1987,female,0,0,Silent
Antigua and Barbuda,1987,female,0,0,Generation X
Antigua and Barbuda,1987,female,0,0,G.I. Generation
Antigua and Barbuda,1987,female,0,0,G.I. Generation
Antigua and Barbuda,1987,male,0,0,Generation X
Antigua and Barbuda,1987,male,0,0,Boomers
Antigua and Barbuda,1987,male,0,0,Silent
Antigua and Barbuda,1987,male,0,0,Generation X
Antigua and Barbuda,1987,male,0,0,G.I. Generation
Antigua and Barbuda,1987,male,0,0,G.I. Generation
Antigua and Barbuda,1988,female,0,0,Generation X
Antigua and Barbuda,1988,female,0,0,Boomers
Antigua and Barbuda,1988,female,0,0,Silent
Antigua and Barbuda,1988,female,0,0,Generation X
Antigua and Barbuda,1988,female,0,0,G.I. Generation
Antigua and Barbuda,1988,female,0,0,G.I. Generation
Antigua and Barbuda,1988,male,0,0,Generation X
Antigua and Barbuda,1988,male,0,0,Boomers
Antigua and Barbuda,1988,male,0,0,Silent
Antigua and Barbuda,1988,male,0,0,Generation X
Antigua and Barbuda,1988,male,0,0,G.I. Generation
Antigua and Barbuda,1988,male,0,0,G.I. Generation
Antigua and Barbuda,1989,female,0,0,Generation X
Antigua and Barbuda,1989,female,0,0,Boomers
Antigua and Barbuda,1989,female,0,0,Silent
Antigua and Barbuda,1989,female,0,0,Generation X
Antigua and Barbuda,1989,female,0,0,G.I. Generation
Antigua and Barbuda,1989,female,0,0,G.I. Generation
Antigua and Barbuda,1989,male,0,0,Generation X
Antigua and Barbuda,1989,male,0,0,Boomers
Antigua and Barbuda,1989,male,0,0,Silent
Antigua and Barbuda,1989,male,0,0,Generation X
Antigua and Barbuda,1989,male,0,0,G.I. Generation
Antigua and Barbuda,1989,male,0,0,G.I. Generation
Antigua and Barbuda,1990,male,1,17.24,Silent
Antigua and Barbuda,1990,female,0,0,Generation X
Antigua and Barbuda,1990,female,0,0,Boomers
Antigua and Barbuda,1990,female,0,0,Silent
Antigua and Barbuda,1990,female,0,0,Generation X
Antigua and Barbuda,1990,female,0,0,G.I. Generation
Antigua and Barbuda,1990,female,0,0,G.I. Generation
Antigua and Barbuda,1990,male,0,0,Generation X
Antigua and Barbuda,1990,male,0,0,Boomers
Antigua and Barbuda,1990,male,0,0,Generation X
Antigua and Barbuda,1990,male,0,0,G.I. Generation
Antigua and Barbuda,1990,male,0,0,G.I. Generation
Antigua and Barbuda,1991,female,0,0,Generation X
Antigua and Barbuda,1991,female,0,0,Boomers
Antigua and Barbuda,1991,female,0,0,Boomers
Antigua and Barbuda,1991,female,0,0,Millenials
Antigua and Barbuda,1991,female,0,0,Silent
Antigua and Barbuda,1991,female,0,0,G.I. Generation
Antigua and Barbuda,1991,male,0,0,Generation X
Antigua and Barbuda,1991,male,0,0,Boomers
Antigua and Barbuda,1991,male,0,0,Boomers
Antigua and Barbuda,1991,male,0,0,Millenials
Antigua and Barbuda,1991,male,0,0,Silent
Antigua and Barbuda,1991,male,0,0,G.I. Generation
Antigua and Barbuda,1992,female,0,0,Generation X
Antigua and Barbuda,1992,female,0,0,Boomers
Antigua and Barbuda,1992,female,0,0,Boomers
Antigua and Barbuda,1992,female,0,0,Millenials
Antigua and Barbuda,1992,female,0,0,Silent
Antigua and Barbuda,1992,female,0,0,G.I. Generation
Antigua and Barbuda,1992,male,0,0,Generation X
Antigua and Barbuda,1992,male,0,0,Boomers
Antigua and Barbuda,1992,male,0,0,Boomers
Antigua and Barbuda,1992,male,0,0,Millenials
Antigua and Barbuda,1992,male,0,0,Silent
Antigua and Barbuda,1992,male,0,0,G.I. Generation
Antigua and Barbuda,1993,male,1,15,Boomers
Antigua and Barbuda,1993,female,0,0,Generation X
Antigua and Barbuda,1993,female,0,0,Boomers
Antigua and Barbuda,1993,female,0,0,Boomers
Antigua and Barbuda,1993,female,0,0,Millenials
Antigua and Barbuda,1993,female,0,0,Silent
Antigua and Barbuda,1993,female,0,0,G.I. Generation
Antigua and Barbuda,1993,male,0,0,Generation X
Antigua and Barbuda,1993,male,0,0,Boomers
Antigua and Barbuda,1993,male,0,0,Millenials
Antigua and Barbuda,1993,male,0,0,Silent
Antigua and Barbuda,1993,male,0,0,G.I. Generation
Antigua and Barbuda,1994,female,0,0,Generation X
Antigua and Barbuda,1994,female,0,0,Boomers
Antigua and Barbuda,1994,female,0,0,Boomers
Antigua and Barbuda,1994,female,0,0,Millenials
Antigua and Barbuda,1994,female,0,0,Silent
Antigua and Barbuda,1994,female,0,0,G.I. Generation
Antigua and Barbuda,1994,male,0,0,Generation X
Antigua and Barbuda,1994,male,0,0,Boomers
Antigua and Barbuda,1994,male,0,0,Boomers
Antigua and Barbuda,1994,male,0,0,Millenials
Antigua and Barbuda,1994,male,0,0,Silent
Antigua and Barbuda,1994,male,0,0,G.I. Generation
Antigua and Barbuda,1995,female,0,0,Generation X
Antigua and Barbuda,1995,female,0,0,Generation X
Antigua and Barbuda,1995,female,0,0,Boomers
Antigua and Barbuda,1995,female,0,0,Millenials
Antigua and Barbuda,1995,female,0,0,Silent
Antigua and Barbuda,1995,female,0,0,G.I. Generation
Antigua and Barbuda,1995,male,0,0,Generation X
Antigua and Barbuda,1995,male,0,0,Generation X
Antigua and Barbuda,1995,male,0,0,Boomers
Antigua and Barbuda,1995,male,0,0,Millenials
Antigua and Barbuda,1995,male,0,0,Silent
Antigua and Barbuda,1995,male,0,0,G.I. Generation
Antigua and Barbuda,1998,female,0,0,Generation X
Antigua and Barbuda,1998,female,0,0,Generation X
Antigua and Barbuda,1998,female,0,0,Boomers
Antigua and Barbuda,1998,female,0,0,Millenials
Antigua and Barbuda,1998,female,0,0,Silent
Antigua and Barbuda,1998,female,0,0,G.I. Generation
Antigua and Barbuda,1998,male,0,0,Generation X
Antigua and Barbuda,1998,male,0,0,Generation X
Antigua and Barbuda,1998,male,0,0,Boomers
Antigua and Barbuda,1998,male,0,0,Millenials
Antigua and Barbuda,1998,male,0,0,Silent
Antigua and Barbuda,1998,male,0,0,G.I. Generation
Antigua and Barbuda,1999,female,0,0,Generation X
Antigua and Barbuda,1999,female,0,0,Generation X
Antigua and Barbuda,1999,female,0,0,Boomers
Antigua and Barbuda,1999,female,0,0,Millenials
Antigua and Barbuda,1999,female,0,0,Silent
Antigua and Barbuda,1999,female,0,0,G.I. Generation
Antigua and Barbuda,1999,male,0,0,Generation X
Antigua and Barbuda,1999,male,0,0,Generation X
Antigua and Barbuda,1999,male,0,0,Boomers
Antigua and Barbuda,1999,male,0,0,Millenials
Antigua and Barbuda,1999,male,0,0,Silent
Antigua and Barbuda,1999,male,0,0,G.I. Generation
Antigua and Barbuda,2000,male,1,30,Silent
Antigua and Barbuda,2000,male,1,9.97,Boomers
Antigua and Barbuda,2000,female,0,0,Generation X
Antigua and Barbuda,2000,female,0,0,Generation X
Antigua and Barbuda,2000,female,0,0,Boomers
Antigua and Barbuda,2000,female,0,0,Millenials
Antigua and Barbuda,2000,female,0,0,Silent
Antigua and Barbuda,2000,female,0,0,G.I. Generation
Antigua and Barbuda,2000,male,0,0,Generation X
Antigua and Barbuda,2000,male,0,0,Generation X
Antigua and Barbuda,2000,male,0,0,Millenials
Antigua and Barbuda,2000,male,0,0,G.I. Generation
Antigua and Barbuda,2001,male,2,19.45,Boomers
Antigua and Barbuda,2001,female,0,0,Millenials
Antigua and Barbuda,2001,female,0,0,Generation X
Antigua and Barbuda,2001,female,0,0,Boomers
Antigua and Barbuda,2001,female,0,0,Millenials
Antigua and Barbuda,2001,female,0,0,Silent
Antigua and Barbuda,2001,female,0,0,Silent
Antigua and Barbuda,2001,male,0,0,Millenials
Antigua and Barbuda,2001,male,0,0,Generation X
Antigua and Barbuda,2001,male,0,0,Millenials
Antigua and Barbuda,2001,male,0,0,Silent
Antigua and Barbuda,2001,male,0,0,Silent
Antigua and Barbuda,2002,female,0,0,Millenials
Antigua and Barbuda,2002,female,0,0,Generation X
Antigua and Barbuda,2002,female,0,0,Boomers
Antigua and Barbuda,2002,female,0,0,Millenials
Antigua and Barbuda,2002,female,0,0,Silent
Antigua and Barbuda,2002,female,0,0,Silent
Antigua and Barbuda,2002,male,0,0,Millenials
Antigua and Barbuda,2002,male,0,0,Generation X
Antigua and Barbuda,2002,male,0,0,Boomers
Antigua and Barbuda,2002,male,0,0,Millenials
Antigua and Barbuda,2002,male,0,0,Silent
Antigua and Barbuda,2002,male,0,0,Silent
Antigua and Barbuda,2003,male,1,27.82,Silent
Antigua and Barbuda,2003,female,0,0,Millenials
Antigua and Barbuda,2003,female,0,0,Generation X
Antigua and Barbuda,2003,female,0,0,Boomers
Antigua and Barbuda,2003,female,0,0,Millenials
Antigua and Barbuda,2003,female,0,0,Silent
Antigua and Barbuda,2003,female,0,0,Silent
Antigua and Barbuda,2003,male,0,0,Millenials
Antigua and Barbuda,2003,male,0,0,Generation X
Antigua and Barbuda,2003,male,0,0,Boomers
Antigua and Barbuda,2003,male,0,0,Millenials
Antigua and Barbuda,2003,male,0,0,Silent
Antigua and Barbuda,2004,male,1,27.29,Silent
Antigua and Barbuda,2004,male,1,8.77,Boomers
Antigua and Barbuda,2004,female,0,0,Millenials
Antigua and Barbuda,2004,female,0,0,Generation X
Antigua and Barbuda,2004,female,0,0,Boomers
Antigua and Barbuda,2004,female,0,0,Millenials
Antigua and Barbuda,2004,female,0,0,Silent
Antigua and Barbuda,2004,female,0,0,Silent
Antigua and Barbuda,2004,male,0,0,Millenials
Antigua and Barbuda,2004,male,0,0,Generation X
Antigua and Barbuda,2004,male,0,0,Millenials
Antigua and Barbuda,2004,male,0,0,Silent
Antigua and Barbuda,2005,female,0,0,Millenials
Antigua and Barbuda,2005,female,0,0,Generation X
Antigua and Barbuda,2005,female,0,0,Boomers
Antigua and Barbuda,2005,female,0,0,Millenials
Antigua and Barbuda,2005,female,0,0,Silent
Antigua and Barbuda,2005,female,0,0,Silent
Antigua and Barbuda,2005,male,0,0,Millenials
Antigua and Barbuda,2005,male,0,0,Generation X
Antigua and Barbuda,2005,male,0,0,Boomers
Antigua and Barbuda,2005,male,0,0,Millenials
Antigua and Barbuda,2005,male,0,0,Silent
Antigua and Barbuda,2005,male,0,0,Silent
Antigua and Barbuda,2006,female,0,0,Millenials
Antigua and Barbuda,2006,female,0,0,Generation X
Antigua and Barbuda,2006,female,0,0,Boomers
Antigua and Barbuda,2006,female,0,0,Millenials
Antigua and Barbuda,2006,female,0,0,Silent
Antigua and Barbuda,2006,female,0,0,Silent
Antigua and Barbuda,2006,male,0,0,Millenials
Antigua and Barbuda,2006,male,0,0,Generation X
Antigua and Barbuda,2006,male,0,0,Boomers
Antigua and Barbuda,2006,male,0,0,Millenials
Antigua and Barbuda,2006,male,0,0,Silent
Antigua and Barbuda,2006,male,0,0,Silent
Antigua and Barbuda,2007,male,1,7.98,Boomers
Antigua and Barbuda,2007,female,0,0,Millenials
Antigua and Barbuda,2007,female,0,0,Generation X
Antigua and Barbuda,2007,female,0,0,Boomers
Antigua and Barbuda,2007,female,0,0,Generation Z
Antigua and Barbuda,2007,female,0,0,Silent
Antigua and Barbuda,2007,female,0,0,Silent
Antigua and Barbuda,2007,male,0,0,Millenials
Antigua and Barbuda,2007,male,0,0,Generation X
Antigua and Barbuda,2007,male,0,0,Generation Z
Antigua and Barbuda,2007,male,0,0,Silent
Antigua and Barbuda,2007,male,0,0,Silent
Antigua and Barbuda,2008,female,0,0,Millenials
Antigua and Barbuda,2008,female,0,0,Generation X
Antigua and Barbuda,2008,female,0,0,Boomers
Antigua and Barbuda,2008,female,0,0,Generation Z
Antigua and Barbuda,2008,female,0,0,Silent
Antigua and Barbuda,2008,female,0,0,Silent
Antigua and Barbuda,2008,male,0,0,Millenials
Antigua and Barbuda,2008,male,0,0,Generation X
Antigua and Barbuda,2008,male,0,0,Boomers
Antigua and Barbuda,2008,male,0,0,Generation Z
Antigua and Barbuda,2008,male,0,0,Silent
Antigua and Barbuda,2008,male,0,0,Silent
Antigua and Barbuda,2009,female,0,0,Millenials
Antigua and Barbuda,2009,female,0,0,Generation X
Antigua and Barbuda,2009,female,0,0,Boomers
Antigua and Barbuda,2009,female,0,0,Generation Z
Antigua and Barbuda,2009,female,0,0,Silent
Antigua and Barbuda,2009,female,0,0,Silent
Antigua and Barbuda,2009,male,0,0,Millenials
Antigua and Barbuda,2009,male,0,0,Generation X
Antigua and Barbuda,2009,male,0,0,Boomers
Antigua and Barbuda,2009,male,0,0,Generation Z
Antigua and Barbuda,2009,male,0,0,Silent
Antigua and Barbuda,2009,male,0,0,Silent
Antigua and Barbuda,2012,female,0,0,Millenials
Antigua and Barbuda,2012,female,0,0,Millenials
Antigua and Barbuda,2012,female,0,0,Generation X
Antigua and Barbuda,2012,female,0,0,Generation Z
Antigua and Barbuda,2012,female,0,0,Boomers
Antigua and Barbuda,2012,female,0,0,Silent
Antigua and Barbuda,2012,male,0,0,Millenials
Antigua and Barbuda,2012,male,0,0,Millenials
Antigua and Barbuda,2012,male,0,0,Generation X
Antigua and Barbuda,2012,male,0,0,Generation Z
Antigua and Barbuda,2012,male,0,0,Boomers
Antigua and Barbuda,2012,male,0,0,Silent
Antigua and Barbuda,2013,female,0,0,Millenials
Antigua and Barbuda,2013,female,0,0,Millenials
Antigua and Barbuda,2013,female,0,0,Generation X
Antigua and Barbuda,2013,female,0,0,Generation Z
Antigua and Barbuda,2013,female,0,0,Boomers
Antigua and Barbuda,2013,female,0,0,Silent
Antigua and Barbuda,2013,male,0,0,Millenials
Antigua and Barbuda,2013,male,0,0,Millenials
Antigua and Barbuda,2013,male,0,0,Generation X
Antigua and Barbuda,2013,male,0,0,Generation Z
Antigua and Barbuda,2013,male,0,0,Boomers
Antigua and Barbuda,2013,male,0,0,Silent
Antigua and Barbuda,2014,female,0,0,Millenials
Antigua and Barbuda,2014,female,0,0,Millenials
Antigua and Barbuda,2014,female,0,0,Generation X
Antigua and Barbuda,2014,female,0,0,Generation Z
Antigua and Barbuda,2014,female,0,0,Boomers
Antigua and Barbuda,2014,female,0,0,Silent
Antigua and Barbuda,2014,male,0,0,Millenials
Antigua and Barbuda,2014,male,0,0,Millenials
Antigua and Barbuda,2014,male,0,0,Generation X
Antigua and Barbuda,2014,male,0,0,Generation Z
Antigua and Barbuda,2014,male,0,0,Boomers
Antigua and Barbuda,2014,male,0,0,Silent
Antigua and Barbuda,2015,female,1,15.62,Boomers
Antigua and Barbuda,2015,female,0,0,Millenials
Antigua and Barbuda,2015,female,0,0,Millenials
Antigua and Barbuda,2015,female,0,0,Generation X
Antigua and Barbuda,2015,female,0,0,Generation Z
Antigua and Barbuda,2015,female,0,0,Silent
Antigua and Barbuda,2015,male,0,0,Millenials
Antigua and Barbuda,2015,male,0,0,Millenials
Antigua and Barbuda,2015,male,0,0,Generation X
Antigua and Barbuda,2015,male,0,0,Generation Z
Antigua and Barbuda,2015,male,0,0,Boomers
Antigua and Barbuda,2015,male,0,0,Silent
Argentina,1985,male,202,55.65,G.I. Generation
Argentina,1985,male,485,24.29,G.I. Generation
Argentina,1985,male,414,12.37,Silent
Argentina,1985,female,210,9.11,G.I. Generation
Argentina,1985,male,177,7.92,Boomers
Argentina,1985,female,41,7.64,G.I. Generation
Argentina,1985,male,156,6.46,Generation X
Argentina,1985,female,142,4.23,Silent
Argentina,1985,female,65,2.97,Boomers
Argentina,1985,female,69,2.93,Generation X
Argentina,1985,male,16,0.53,Generation X
Argentina,1985,female,11,0.37,Generation X
Argentina,1986,male,230,63.01,G.I. Generation
Argentina,1986,male,530,26.39,G.I. Generation
Argentina,1986,male,478,14.2,Silent
Argentina,1986,male,209,9.3,Boomers
Argentina,1986,female,48,8.89,G.I. Generation
Argentina,1986,female,201,8.67,G.I. Generation
Argentina,1986,male,186,7.66,Generation X
Argentina,1986,female,188,5.57,Silent
Argentina,1986,female,96,4.37,Boomers
Argentina,1986,female,101,4.27,Generation X
Argentina,1986,male,10,0.33,Generation X
Argentina,1986,female,7,0.24,Generation X
Argentina,1987,male,200,54.08,G.I. Generation
Argentina,1987,male,532,26.15,G.I. Generation
